0	1	0.0
0	2	0.0731707317073
0	3	0.0
0	4	0.0
0	5	0.046511627907
0	6	0.0666666666667
0	7	0.0425531914894
0	8	0.0588235294118
0	9	0.0
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.0
2	3	0.290909090909
2	4	0.0
2	5	0.255639097744
2	6	0.12676056338
2	7	0.234482758621
2	8	0.0625
2	9	0.0
3	4	0.0
3	5	0.246153846154
3	6	0.153846153846
3	7	0.225352112676
3	8	0.0161290322581
3	9	0.0
4	5	0.00740740740741
4	6	0.0
4	7	0.00680272108844
4	8	0.0
4	9	0.0
5	6	0.315384615385
5	7	0.914893617021
5	8	0.0392156862745
5	9	0.0227272727273
6	7	0.288732394366
6	8	0.0285714285714
6	9	0.0434782608696
7	8	0.0363636363636
7	9	0.0208333333333
8	9	0.0
